city,State,Revenue,Class,Month
New York City,NY,469.67,Spinning,3
Jamaica,NY,281.8,Yoga 101,3
New York City,NY,335.72,PiYo,3
New Castle,PA,137.28,Zumba,3
Rochester,NY,322.84,Insanity,3
Buffalo,NY,403.01,Zumba,3
Trenton,NJ,301.94,Yoga 101,3
Allentown,PA,189.36,Yoga 201,3
Pittsburgh,PA,460.84,Yoga 101,3
Jersey City,NJ,499.12,Insanity,3
Philadelphia,PA,299.11,Insanity,3
Buffalo,NY,144.08,Zumba,3
Bronx,NY,221.02,Yoga 201,3
Paterson,NJ,206.58,Spinning,3
Buffalo,NY,223.95,Yoga 101,3
Erie,PA,318.96,Yoga 201,3
Harrisburg,PA,394.78,Insanity,3
New York City,NY,114.82,Yoga 101,3
Albany,NY,382.67,Insanity,3
Valley Forge,PA,344.59,Yoga 201,3
Erie,PA,107.26,Spinning,3
New York City,NY,324.84,Insanity,3
Albany,NY,447.38,Yoga 201,3
Erie,PA,442.19,Zumba,3
Philadelphia,PA,343.92,PiYo,3
New York City,NY,491.48,Insanity,3
Brooklyn,NY,354.49,PiYo,3
Syracuse,NY,218.2,PiYo,3
Philadelphia,PA,193.48,Yoga 201,3
Albany,NY,422.08,PiYo,3
Reading,PA,176.77,Insanity,3
Newark,NJ,125.4,PiYo,3
Syracuse,NY,372.9,Yoga 201,3
Trenton,NJ,234.14,Yoga 101,3
Brooklyn,NY,236.57,Yoga 201,3
Philadelphia,PA,305.92,Zumba,3
Bethlehem,PA,109.5,Spinning,3
Pittsburgh,PA,155.03,Insanity,3
Philadelphia,PA,400.72,Yoga 201,3
Brooklyn,NY,295.88,Yoga 201,3
Paterson,NJ,119.72,Yoga 101,3
Buffalo,NY,207.66,Insanity,3
Albany,NY,470.93,Insanity,3
Albany,NY,455.46,Yoga 201,3
New York City,NY,328.31,Insanity,3
Bronx,NY,466.33,Insanity,3
Albany,NY,464.36,Yoga 101,3
Reading,PA,249.74,Insanity,3
Brooklyn,NY,226.66,PiYo,3
White Plains,NY,481.49,Yoga 101,3
Philadelphia,PA,408.56,Zumba,3
Philadelphia,PA,425.55,Spinning,3
Brooklyn,NY,451.47,Yoga 201,3
Rochester,NY,463.51,Insanity,3
Buffalo,NY,332.4,Zumba,3
Rochester,NY,438.55,Yoga 101,3
New Hyde Park,NY,212.43,Yoga 201,3
Paterson,NJ,385.47,Yoga 101,3
Pittsburgh,PA,484.97,Spinning,3
Brooklyn,NY,163.43,Yoga 201,3
White Plains,NY,425.23,Spinning,3
New York City,NY,331.86,Insanity,3
New York City,NY,137.86,Spinning,3
New York City,NY,294.15,Zumba,3
Schenectady,NY,308.14,Zumba,3
Philadelphia,PA,394.91,Spinning,3
Erie,PA,296.11,Yoga 101,3
Pittsburgh,PA,406.72,Spinning,3
Trenton,NJ,418.54,Spinning,3
New York City,NY,335.51,PiYo,3
Erie,PA,168.16,Zumba,3
Elizabeth,NJ,429.46,Yoga 201,3
York,PA,157.73,Spinning,3
Albany,NY,132.14,PiYo,3
Philadelphia,PA,113.96,Insanity,3
Mount Vernon,NY,325.94,Yoga 101,3
Buffalo,NY,195.74,Insanity,3
Philadelphia,PA,122.24,Yoga 201,3
New York City,NY,124.92,Yoga 101,3
Buffalo,NY,411.07,Zumba,3
Rochester,NY,167.82,Yoga 101,3
New York City,NY,400.12,Spinning,3
Bronx,NY,189.47,Spinning,3
Syracuse,NY,330.27,Yoga 201,3
Syracuse,NY,377.59,Yoga 201,3
Albany,NY,355.51,Insanity,3
Syracuse,NY,421.53,Insanity,3
Lancaster,PA,470.99,Zumba,3
New York City,NY,187.1,PiYo,3
Staten Island,NY,268.2,PiYo,3
Syracuse,NY,474.11,PiYo,3
New York City,NY,149.02,Insanity,3
New Brunswick,NJ,414.83,Spinning,3
New York City,NY,475.75,PiYo,3
New York City,NY,401.99,Spinning,3
Mount Vernon,NY,497.66,Yoga 201,3
Philadelphia,PA,261.39,Zumba,3
Rochester,NY,312.87,Yoga 101,3
Albany,NY,452.68,Yoga 101,3
Jamaica,NY,195.95,Spinning,3
Brooklyn,NY,136.76,Insanity,3
Pittsburgh,PA,407.99,PiYo,3
New York City,NY,235.48,Zumba,3
New York City,NY,237.12,Spinning,3
New York City,NY,427.77,Yoga 101,3
Buffalo,NY,303.98,Spinning,3
Johnstown,PA,142.1,Insanity,3
Pittsburgh,PA,478.29,Insanity,3
Albany,NY,136.67,Spinning,3
Philadelphia,PA,370.28,Yoga 101,3
Syracuse,NY,357.18,Spinning,3
Newark,NJ,269.96,PiYo,3
Bronx,NY,315.41,Insanity,3
Reading,PA,169.41,Yoga 201,3
Buffalo,NY,420.93,Yoga 201,3
New York City,NY,396.87,Spinning,3
Paterson,NJ,273.59,PiYo,3
Trenton,NJ,241.56,Yoga 101,3
Camden,NJ,147.13,Yoga 201,3
Buffalo,NY,377.27,Spinning,3
New York City,NY,363.93,Yoga 101,3
Pittsburgh,PA,218.93,Spinning,3
Philadelphia,PA,477.17,Yoga 101,3
Philadelphia,PA,287.2,Zumba,3
Pittsburgh,PA,251.82,Zumba,3
Brooklyn,NY,371.82,PiYo,3
Brooklyn,NY,101.38,Yoga 201,3
New York City,NY,486.78,Spinning,3
Philadelphia,PA,114.72,PiYo,3
New York City,NY,131.35,Insanity,3
Brooklyn,NY,400.12,Zumba,3
Albany,NY,170.89,Zumba,3
New York City,NY,191.96,Yoga 101,3
New York City,NY,425.66,Yoga 101,3
New York City,NY,440.66,Insanity,3
Lancaster,PA,250,PiYo,3
Brooklyn,NY,213.97,Zumba,3
Rochester,NY,104.26,PiYo,3
Pittsburgh,PA,343.76,Spinning,3
Buffalo,NY,198.2,Yoga 201,3
Syracuse,NY,182.89,PiYo,3
Valley Forge,PA,197.46,Yoga 101,3
Pittsburgh,PA,469.88,Yoga 201,3
Newark,NJ,391.27,Insanity,3
New York City,NY,468.11,Yoga 101,3
New York City,NY,145.89,Yoga 201,3
Wilkes Barre,PA,147.46,Yoga 101,3
Buffalo,NY,219.45,PiYo,3
Schenectady,NY,192.21,Yoga 101,3
Philadelphia,PA,126.39,Zumba,3
Trenton,NJ,405.12,Yoga 101,3
New York City,NY,193.18,Spinning,3
Pittsburgh,PA,417.97,Yoga 201,3
New York City,NY,139.24,Yoga 101,3
Philadelphia,PA,214.84,Spinning,3
New York City,NY,122.97,Zumba,3
Syracuse,NY,356.68,Yoga 101,3
New York City,NY,446.29,Yoga 101,3
Rochester,NY,213.36,Zumba,3
Pittsburgh,PA,478.74,Spinning,3
Allentown,PA,293.94,Yoga 101,3
Pittsburgh,PA,259.74,Insanity,3
Elmira,NY,185.19,Insanity,3
Brooklyn,NY,104.9,Zumba,3
New York City,NY,237.36,Yoga 101,3
Brooklyn,NY,284.94,Zumba,3
New York City,NY,160.76,PiYo,3
Johnstown,PA,363.35,Insanity,3
New York City,NY,117.64,PiYo,3
New York City,NY,284.62,Zumba,3
White Plains,NY,284.09,Insanity,3
Schenectady,NY,258.84,PiYo,3
Port Washington,NY,440.95,Insanity,3
Philadelphia,PA,191.88,Yoga 201,3
New York City,NY,273.48,Zumba,3
Philadelphia,PA,444.92,Insanity,3
Yonkers,NY,464.1,Zumba,3
Valley Forge,PA,411.4,Yoga 201,3
Scranton,PA,494.98,Spinning,3
Harrisburg,PA,327.07,Spinning,3
Albany,NY,108.72,Yoga 201,3
New York City,NY,157.19,Yoga 201,3
Albany,NY,403.05,Insanity,3
Philadelphia,PA,426.46,Yoga 201,3
Great Neck,NY,459.92,Spinning,3
New York City,NY,153.3,Yoga 201,3
Brooklyn,NY,312.63,Insanity,3
Great Neck,NY,132.06,Yoga 101,3
Jamaica,NY,293.97,Spinning,3
Brooklyn,NY,309.53,Insanity,3
Pittsburgh,PA,434.94,Insanity,3
Brooklyn,NY,474.76,Spinning,3
Paterson,NJ,211.61,Insanity,3
Pittsburgh,PA,427.57,Zumba,3
Philadelphia,PA,304.84,Insanity,3
New York City,NY,347.42,Spinning,3
Pittsburgh,PA,263.89,Zumba,3
New Hyde Park,NY,469.18,Zumba,3
Philadelphia,PA,144.71,PiYo,3
Jamaica,NY,205.23,Yoga 101,3
Rochester,NY,156.21,Spinning,3
New York City,NY,158.11,Yoga 201,3
Lancaster,PA,332.91,Zumba,3
Erie,PA,339.31,Yoga 201,3
New York City,NY,427.68,Yoga 201,3
White Plains,NY,134.53,Spinning,3
Philadelphia,PA,236.23,Insanity,3
Buffalo,NY,334,Insanity,3
Albany,NY,200.89,Yoga 201,3
Albany,NY,304.42,Yoga 201,3
Reading,PA,203.36,Yoga 201,3
Harrisburg,PA,228.14,Yoga 201,3
New York City,NY,408.84,PiYo,3
New York City,NY,460.7,Spinning,3
Albany,NY,378.91,Zumba,3
Trenton,NJ,279.15,PiYo,3
Yonkers,NY,375.32,Spinning,3
Pittsburgh,PA,223.6,Yoga 101,3
Pittsburgh,PA,275.83,Insanity,3
New York City,NY,478.86,Spinning,3
Trenton,NJ,351.98,Zumba,3
Pittsburgh,PA,269.09,Zumba,3
Valley Forge,PA,366.05,PiYo,3
Brooklyn,NY,399.12,Yoga 201,3
Jamaica,NY,423.86,Spinning,3
Brooklyn,NY,422.94,Insanity,3
New York City,NY,419.29,Yoga 101,3
Buffalo,NY,309.32,Yoga 201,3
Erie,PA,443.31,Spinning,3
Port Washington,NY,147.96,Yoga 101,3
York,PA,154.98,Spinning,3
Philadelphia,PA,224.89,Spinning,3
Philadelphia,PA,211.67,Spinning,3
New York City,NY,497.29,Insanity,3
Schenectady,NY,407.88,Yoga 101,3
Brooklyn,NY,427,Zumba,3
Syracuse,NY,373.89,Spinning,3
Philadelphia,PA,371.94,Yoga 201,3
New York City,NY,493.57,Zumba,3
Albany,NY,214.23,Yoga 201,3
Syracuse,NY,168.79,Yoga 101,3
Jamaica,NY,127.09,Spinning,3
Trenton,NJ,410.5,Zumba,3
Wilkes Barre,PA,319.62,PiYo,3
Buffalo,NY,325.42,Zumba,3
New York City,NY,414.39,Zumba,3
Brooklyn,NY,195.91,Insanity,3
Buffalo,NY,217.59,Yoga 101,3
New York City,NY,264.02,Yoga 201,3
Port Washington,NY,160,Spinning,3
New York City,NY,285.13,Yoga 101,3
Jamaica,NY,479.4,Yoga 101,3
Reading,PA,278.78,Zumba,3
Reading,PA,360.99,PiYo,3
Albany,NY,344.67,Spinning,3
Paterson,NJ,378.15,PiYo,3
New York City,NY,480.17,Yoga 201,3
Trenton,NJ,182.55,Zumba,3
New York City,NY,103.41,Yoga 101,3
Camden,NJ,424.94,Zumba,3
New York City,NY,454.09,Yoga 201,3
New York City,NY,105.59,Yoga 201,3
New York City,NY,206.27,Zumba,3
Philadelphia,PA,358.81,Insanity,3
Elizabeth,NJ,372.39,Yoga 101,3
Philadelphia,PA,340.79,Yoga 201,3
New York City,NY,276.7,Yoga 201,3
Rochester,NY,135.66,PiYo,3
Rochester,NY,437.99,Yoga 101,3
Philadelphia,PA,328.66,Zumba,3
Philadelphia,PA,213.14,Yoga 101,3
Brooklyn,NY,313.74,Yoga 201,3
Utica,NY,234.03,Zumba,3
Lancaster,PA,217.26,Insanity,3
Erie,PA,361.92,Spinning,3
Albany,NY,412.5,Yoga 101,3
Elmira,NY,404.03,Insanity,3
New York City,NY,338.1,Yoga 201,3
Wilkes Barre,PA,170.17,PiYo,3
Jamaica,NY,373.52,Spinning,3
Philadelphia,PA,242.54,Yoga 201,3
Bethlehem,PA,482.13,Insanity,3
Albany,NY,115.83,PiYo,3
Wilkes Barre,PA,396.14,Yoga 201,3
Flushing,NY,371.5,Yoga 201,3
Pittsburgh,PA,169.47,Spinning,3
York,PA,282.05,Yoga 101,3
Brooklyn,NY,155.92,Yoga 201,3
Albany,NY,141.62,PiYo,3
Lancaster,PA,411.95,PiYo,3
Jamaica,NY,265.52,Spinning,3
New York City,NY,273.92,Spinning,3
Brooklyn,NY,106.27,Spinning,3
Hicksville,NY,160.08,PiYo,3
New York City,NY,103.84,Insanity,3
New York City,NY,229.7,Spinning,3
Trenton,NJ,243.49,Yoga 201,3
Elmira,NY,346.55,PiYo,3
Pittsburgh,PA,135.09,Yoga 101,3
Pittsburgh,PA,266.58,Yoga 101,3
Lancaster,PA,387.34,Insanity,3
Brooklyn,NY,175.29,Spinning,3
New York City,NY,110.68,PiYo,3
Buffalo,NY,377.46,Insanity,3
Brooklyn,NY,458.4,Yoga 101,3
Syracuse,NY,131.05,Yoga 201,3
Albany,NY,262.3,PiYo,3
Buffalo,NY,473.81,Yoga 201,3
Brooklyn,NY,263.62,Yoga 101,3
New York City,NY,278.77,PiYo,3
Hicksville,NY,443.43,Spinning,3
New York City,NY,222.92,Yoga 101,3
New York City,NY,368.53,Insanity,3
Elizabeth,NJ,484.85,Yoga 101,3
Jersey City,NJ,289.02,Zumba,3
Flushing,NY,257.71,Zumba,3
New York City,NY,361.91,Spinning,3
New York City,NY,144.82,Insanity,3
Brooklyn,NY,326.5,Spinning,3
Albany,NY,251.8,Zumba,3
Jersey City,NJ,152.54,Yoga 201,3
Albany,NY,363.76,PiYo,3
Erie,PA,249.09,Zumba,3
New York City,NY,402.09,Zumba,3
Albany,NY,404.26,Spinning,3
Wilkes Barre,PA,155.14,Spinning,3
Syracuse,NY,311.22,Yoga 101,3
New York City,NY,290.87,Insanity,3
Albany,NY,105.94,Yoga 201,3
Bronx,NY,245.61,Spinning,3
New Hyde Park,NY,394.33,Yoga 201,3
Trenton,NJ,145.24,Yoga 201,3
York,PA,284.75,Spinning,3
Erie,PA,219.12,Insanity,3
Elizabeth,NJ,408.91,Yoga 201,3
Erie,PA,386.07,PiYo,3
Philadelphia,PA,133.71,PiYo,3
Harrisburg,PA,143.25,Spinning,3
Paterson,NJ,429.27,PiYo,3
New York City,NY,482.41,Insanity,3
Erie,PA,266.65,Yoga 101,3
New York City,NY,481.31,Yoga 101,3
New York City,NY,393.1,Zumba,3
New York City,NY,316.87,Insanity,3
Albany,NY,246.89,Insanity,3
Pittsburgh,PA,339.36,Spinning,3
New York City,NY,494.79,PiYo,3
Harrisburg,PA,416.2,PiYo,3
Port Washington,NY,167.18,Yoga 101,3
Jamaica,NY,428.99,Zumba,3
Philadelphia,PA,119.36,Zumba,3
Buffalo,NY,268.26,Zumba,3
Harrisburg,PA,133.95,Spinning,3
New York City,NY,340.94,PiYo,3
Pittsburgh,PA,258.59,Yoga 101,3
Philadelphia,PA,123.43,Spinning,3
Syracuse,NY,258.19,Spinning,3
New York City,NY,392.26,Spinning,3
Philadelphia,PA,367.75,PiYo,3
Pittsburgh,PA,489.29,Insanity,3
Buffalo,NY,411.38,PiYo,3
Philadelphia,PA,415.47,PiYo,3
Philadelphia,PA,307.24,Insanity,3
New Hyde Park,NY,469.81,PiYo,3
Erie,PA,440.55,Spinning,3
Erie,PA,337.13,PiYo,3
Newark,NJ,383.31,Yoga 201,3
Trenton,NJ,213.8,Zumba,3
Philadelphia,PA,392.37,Yoga 101,3
New York City,NY,132.89,PiYo,3
Jamaica,NY,199.75,Yoga 201,3
Pittsburgh,PA,238.39,Insanity,3
Buffalo,NY,122.62,Yoga 101,3
New York City,NY,485.98,Spinning,3
Philadelphia,PA,289.72,Yoga 101,3
Philadelphia,PA,300.83,PiYo,3
Philadelphia,PA,155.1,PiYo,3
Johnstown,PA,213.15,Yoga 201,3
Newark,NJ,294.19,Insanity,3
Brooklyn,NY,221.21,Yoga 101,3
New York City,NY,481.56,Insanity,3
Buffalo,NY,307.83,Spinning,3
Elmira,NY,332.2,Insanity,3
Albany,NY,442.36,Spinning,3
New Brunswick,NJ,398.91,Spinning,3
Buffalo,NY,455.18,Yoga 101,3
Jersey City,NJ,133.78,Yoga 101,3
New York City,NY,118.7,Zumba,3
Scranton,PA,194.34,PiYo,3
Philadelphia,PA,134.25,Yoga 101,3
Pittsburgh,PA,346.86,Yoga 101,3
Buffalo,NY,345.2,Yoga 201,3
New York City,NY,470.27,Zumba,3
Scranton,PA,444.68,Insanity,3
Philadelphia,PA,405.92,Yoga 201,3
Jersey City,NJ,100.77,Insanity,3
New Castle,PA,208.16,Spinning,3
Staten Island,NY,304.02,Yoga 201,3
Paterson,NJ,127.42,Yoga 101,3
Syracuse,NY,100.43,PiYo,3
Brooklyn,NY,290.46,PiYo,3
Pittsburgh,PA,256.76,Spinning,3
New York City,NY,327.28,Insanity,3
Allentown,PA,124.18,Zumba,3
Jamaica,NY,151.95,Insanity,3
Jamaica,NY,288.46,Spinning,3
Paterson,NJ,349.83,Insanity,3
Elizabeth,NJ,454.75,PiYo,3
Newark,NJ,386.98,Yoga 201,3
Albany,NY,360.89,Zumba,3
Syracuse,NY,391.9,Yoga 101,3
Mount Vernon,NY,266.98,PiYo,3
Rochester,NY,349.72,Yoga 101,3
Staten Island,NY,112.55,Spinning,3
New Brunswick,NJ,411.11,Zumba,3
New York City,NY,413.96,Yoga 101,3
New York City,NY,265.26,Yoga 201,3
Brooklyn,NY,244.65,Yoga 201,3
Albany,NY,440.65,Spinning,3
Pittsburgh,PA,457.99,Zumba,3
Buffalo,NY,311.17,PiYo,3
Erie,PA,366.79,PiYo,3
Jamaica,NY,167.97,PiYo,3
Staten Island,NY,294.88,Insanity,3
Philadelphia,PA,369.91,Insanity,3
Harrisburg,PA,327.89,Yoga 201,3
Wilkes Barre,PA,137.5,Insanity,3
Erie,PA,234.13,PiYo,3
Rochester,NY,235.23,Yoga 201,3
Brooklyn,NY,441.16,PiYo,3
Buffalo,NY,126.05,Insanity,3
Brooklyn,NY,430.97,Zumba,3
Valley Forge,PA,485.28,Spinning,3
Philadelphia,PA,364.07,Zumba,3
White Plains,NY,408.39,PiYo,3
New York City,NY,434.79,Insanity,3
Bronx,NY,442.47,Insanity,3
Levittown,PA,185.73,Zumba,3
New York City,NY,358.55,Spinning,3
Pittsburgh,PA,306.59,Insanity,3
Philadelphia,PA,336.52,PiYo,3
Reading,PA,419.51,Yoga 201,3
Newark,NJ,422,Zumba,3
York,PA,209.93,Zumba,3
Philadelphia,PA,251.09,PiYo,3
Philadelphia,PA,278.56,Yoga 101,3
Trenton,NJ,172.14,Zumba,3
Jamaica,NY,294.72,PiYo,3
Syracuse,NY,392.77,Zumba,3
New York City,NY,451.55,Spinning,3
Brooklyn,NY,464.28,Spinning,3
Jamaica,NY,125.94,Spinning,3
Pittsburgh,PA,309.91,Spinning,3
Jamaica,NY,335.11,PiYo,3
Buffalo,NY,375.57,Yoga 101,3
Lancaster,PA,486.3,Zumba,3
New York City,NY,452.59,Zumba,3
Trenton,NJ,192.33,Zumba,3
New York City,NY,116.66,Yoga 201,3
Bronx,NY,314.06,Spinning,3
Syracuse,NY,330.66,Yoga 101,3
New York City,NY,287.14,Zumba,3
Philadelphia,PA,141.41,Yoga 101,3
Trenton,NJ,311.98,Spinning,3
Philadelphia,PA,434.49,PiYo,3
Albany,NY,215.79,Zumba,3
Pittsburgh,PA,288.36,Insanity,3
Pittsburgh,PA,197.27,Zumba,3
Rochester,NY,273.16,Spinning,3
Philadelphia,PA,338.13,Insanity,3
Pittsburgh,PA,189.27,Zumba,3
Newark,NJ,230.43,PiYo,3
Harrisburg,PA,486.12,Yoga 201,3
Bronx,NY,391.28,Yoga 101,3
New York City,NY,243.93,Yoga 101,3
Philadelphia,PA,322.55,Zumba,3
Albany,NY,331.42,PiYo,3
Pittsburgh,PA,222.82,Insanity,3
New Castle,PA,135.36,PiYo,3
Trenton,NJ,318.85,Yoga 201,3
Pittsburgh,PA,199.31,Yoga 101,3
New York City,NY,305.03,Spinning,3
Wilkes Barre,PA,358.2,Insanity,3
White Plains,NY,192.9,Spinning,3
New York City,NY,120.94,Yoga 201,3
Lancaster,PA,492.14,Zumba,3
Johnstown,PA,236.2,Spinning,3
Harrisburg,PA,352.86,Yoga 201,3
Pittsburgh,PA,327.47,Yoga 101,3
Buffalo,NY,439.47,Zumba,3
Albany,NY,276.22,Insanity,3
Brooklyn,NY,232.66,Yoga 201,3
Jamaica,NY,317.68,Yoga 201,3
New York City,NY,294.45,Spinning,3
Pittsburgh,PA,378.22,Spinning,3
Mc Keesport,PA,321.22,Yoga 201,3
Schenectady,NY,144.27,Yoga 201,3
New York City,NY,130.38,Spinning,3
New York City,NY,120.79,Yoga 101,3
Bronx,NY,139.16,Insanity,3
Reading,PA,288.92,Spinning,3
New York City,NY,234.73,PiYo,3
New York City,NY,282,Insanity,3
Buffalo,NY,361.9,PiYo,3
Elizabeth,NJ,216.06,Spinning,3
Buffalo,NY,112.46,Yoga 201,3
Rochester,NY,322.2,Insanity,3
New York City,NY,149.07,Insanity,3
Schenectady,NY,253.25,Zumba,3
Bronx,NY,236.72,Yoga 101,3
Erie,PA,253.54,Insanity,3
Pittsburgh,PA,328.18,Yoga 101,3
Syracuse,NY,302.11,Spinning,3
New York City,NY,151.73,Yoga 201,3
Reading,PA,105.86,Spinning,3
Philadelphia,PA,116.9,Insanity,3
Brooklyn,NY,108.32,Yoga 101,3
Paterson,NJ,459.69,Insanity,3
New York City,NY,485.36,Insanity,3
New York City,NY,268.01,Yoga 201,3
Albany,NY,396.41,Zumba,3
Buffalo,NY,117.29,Zumba,3
New York City,NY,347.91,Spinning,3
New York City,NY,454.59,Insanity,3
Bronx,NY,424.31,Spinning,3
Trenton,NJ,259.67,Yoga 201,3
New York City,NY,325.87,Zumba,3
Albany,NY,225.8,PiYo,3
Syracuse,NY,360.9,Insanity,3
Brooklyn,NY,284.71,Zumba,3
Lancaster,PA,163.2,Yoga 201,3
Erie,PA,115.3,Yoga 201,3
New York City,NY,355.76,Spinning,3
Erie,PA,214.28,PiYo,3
Wilkes Barre,PA,178.91,Zumba,3
Trenton,NJ,125.4,Yoga 201,3
New York City,NY,111.81,Yoga 201,3
Pittsburgh,PA,367.83,Yoga 101,3
Syracuse,NY,396.23,Zumba,3
Rochester,NY,281.4,PiYo,3
Johnstown,PA,490.64,Yoga 201,3
Pittsburgh,PA,283.3,Yoga 101,3
Albany,NY,286.23,Insanity,3
Erie,PA,337.07,Yoga 101,3
Scranton,PA,147.61,Insanity,3
Wilkes Barre,PA,333.98,Yoga 101,3
Wilkes Barre,PA,377.89,Spinning,3
Buffalo,NY,108.47,PiYo,3
Jamaica,NY,169.02,Yoga 101,3
Bethlehem,PA,274.47,Yoga 101,3
Schenectady,NY,464.28,Zumba,3
Jamaica,NY,264.77,PiYo,3
Albany,NY,467.06,Yoga 101,3
Paterson,NJ,437.16,Spinning,3
Bronx,NY,245.75,PiYo,3
Newark,NJ,127.01,Yoga 101,3
Philadelphia,PA,326.19,Spinning,3
Reading,PA,269.03,Zumba,3
Jamaica,NY,180.75,Yoga 201,3
Rochester,NY,239.69,Yoga 201,3
Buffalo,NY,218.58,Zumba,3
Albany,NY,492.51,Yoga 101,3
Harrisburg,PA,153.12,Yoga 201,3
Buffalo,NY,185.9,PiYo,3
Syracuse,NY,150.37,Insanity,3
New York City,NY,378.56,PiYo,3
Buffalo,NY,108.3,PiYo,3
New York City,NY,414.45,Yoga 201,3
Bethlehem,PA,437.31,Spinning,3
Philadelphia,PA,277.54,PiYo,3
Newark,NJ,125.78,PiYo,3
Buffalo,NY,229.86,Spinning,3
Bronx,NY,266.85,Yoga 101,3
Pittsburgh,PA,127.04,Yoga 201,3
Syracuse,NY,161.55,Yoga 101,3
Philadelphia,PA,284.48,Yoga 101,3
Johnstown,PA,370.95,Zumba,3
New York City,NY,111.45,Insanity,3
Wilkes Barre,PA,488.57,Zumba,3
Pittsburgh,PA,162.52,Yoga 101,3
New York City,NY,146.28,Zumba,3
Pittsburgh,PA,484.57,Yoga 201,3
Buffalo,NY,149.8,Zumba,3
New York City,NY,319.72,Spinning,3
Buffalo,NY,189.32,Zumba,3
Mc Keesport,PA,380.19,Spinning,3
Philadelphia,PA,404.96,Insanity,3
White Plains,NY,373.16,Yoga 101,3
Philadelphia,PA,132.11,Insanity,3
Pittsburgh,PA,367.53,Zumba,3
Pittsburgh,PA,445.44,Zumba,3
Pittsburgh,PA,411.64,Insanity,3
Jamaica,NY,380.48,Spinning,3
Harrisburg,PA,129.46,PiYo,3
Bronx,NY,189.09,Yoga 101,3
Rochester,NY,154.93,Insanity,3
Pittsburgh,PA,287,Yoga 201,3
Jersey City,NJ,463.74,Yoga 201,3
New York City,NY,458.04,Spinning,3
Bronx,NY,269.8,Insanity,3
Rochester,NY,469.55,Spinning,3
New York City,NY,357.34,Zumba,3
Buffalo,NY,135.34,Yoga 201,3
Harrisburg,PA,456.32,Spinning,3
New York City,NY,382.53,Insanity,3
Erie,PA,330.12,Zumba,3
New York City,NY,374.67,Spinning,3
Trenton,NJ,420.69,Spinning,3
Pittsburgh,PA,135.01,Yoga 201,3
Paterson,NJ,137.38,Insanity,3
Albany,NY,208.24,Yoga 101,3
New York City,NY,303.21,Yoga 201,3
Rochester,NY,388.6,Yoga 101,3
White Plains,NY,441.83,Yoga 201,3
Harrisburg,PA,418.26,Spinning,3
Philadelphia,PA,471.07,Spinning,3
Philadelphia,PA,282.82,Spinning,3
Brooklyn,NY,306.27,Zumba,3
Albany,NY,239.61,PiYo,3
Bronx,NY,206.22,Zumba,3
Albany,NY,276.16,Insanity,3
Levittown,PA,249.93,Zumba,3
Bronx,NY,162.58,Zumba,3
Brooklyn,NY,471.5,Insanity,3
Pittsburgh,PA,467.86,Yoga 201,3
Lancaster,PA,288.03,Insanity,3
New York City,NY,124.89,Spinning,3
Philadelphia,PA,178.86,PiYo,3
Pittsburgh,PA,440.38,PiYo,3
Newark,NJ,418.54,Insanity,3
Syracuse,NY,333.99,PiYo,3
Jamaica,NY,206.83,PiYo,3
Newark,NJ,369.86,Yoga 201,3
New York City,NY,471.84,Insanity,3
New York City,NY,288.71,Spinning,3
Harrisburg,PA,166.5,Yoga 101,3
Brooklyn,NY,315.89,Yoga 201,3
New York City,NY,241.19,Insanity,3
Scranton,PA,371.19,Yoga 201,3
Brooklyn,NY,299.85,Zumba,3
New York City,NY,344.67,Insanity,3
Mc Keesport,PA,271.36,Yoga 101,3
Brooklyn,NY,485.26,Zumba,3
Rochester,NY,474.77,PiYo,3
Erie,PA,183.37,Yoga 101,3
Trenton,NJ,133.54,Spinning,3
New York City,NY,163.72,Zumba,3
New York City,NY,387.77,Yoga 201,3
Yonkers,NY,182.26,Spinning,3
Philadelphia,PA,498.07,Yoga 201,3
York,PA,282.79,Zumba,3
Albany,NY,381.53,Yoga 101,3
New York City,NY,170.94,PiYo,3
Brooklyn,NY,164.07,Yoga 101,3
Philadelphia,PA,442.52,Yoga 101,3
Rochester,NY,150.17,Yoga 201,3
Brooklyn,NY,263.48,Insanity,3
Syracuse,NY,113.87,Yoga 101,3
New York City,NY,455.5,Yoga 101,3
Port Washington,NY,168.33,Insanity,3
Lancaster,PA,182.94,PiYo,3
New York City,NY,278.37,Spinning,3
Utica,NY,320.34,Spinning,3
New York City,NY,363.62,Yoga 101,3
Pittsburgh,PA,465.33,Insanity,3
Paterson,NJ,430.1,Yoga 101,3
Albany,NY,468.76,Spinning,3
New York City,NY,411.14,Insanity,3
Philadelphia,PA,172.67,PiYo,3
Reading,PA,318.46,Yoga 101,3
Bronx,NY,385.15,Insanity,3
New York City,NY,108.05,PiYo,3
Flushing,NY,381.29,PiYo,3
Philadelphia,PA,130.45,Yoga 101,3
New York City,NY,214.62,Yoga 101,3
Camden,NJ,385.34,Insanity,3
Philadelphia,PA,106.14,PiYo,3
Port Washington,NY,203.68,PiYo,3
New York City,NY,223.72,Spinning,3
Erie,PA,324.81,PiYo,3
Erie,PA,292.75,Spinning,3
Lancaster,PA,493.09,Yoga 101,3
Harrisburg,PA,415.14,Yoga 101,3
Syracuse,NY,266.97,Spinning,3
Trenton,NJ,171.1,Insanity,3
Schenectady,NY,163.96,Insanity,3
New York City,NY,212.46,Yoga 101,3
